INDEX	TRACK ID	LAP ID	VALID	UTC DATE	UTC TIME	LOCAL DATE	LOCAL TIME	MS	LATITUDE	N/S	LONGITUDE	E/W	ALTITUDE	SPEED	HEADING	G-X	G-Y	G-Z
6194	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	200	43.363327	N	71.461987	W	109.443260	167.970261	198.105485	0.039438	-0.272481	0.000000
6195	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	300	43.363287	N	71.462005	W	109.448219	169.502182	197.905898	0.166492	-0.283972	0.000000
6196	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	400	43.363246	N	71.462024	W	109.426132	169.973282	198.246228	-0.285582	-0.215292	0.000000
6197	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	500	43.363205	N	71.462042	W	109.429810	171.016327	198.539489	-0.247183	-0.241411	0.000000
6198	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	600	43.363164	N	71.462061	W	109.362946	171.673370	198.428926	0.093656	-0.397624	0.000000
6199	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	700	43.363123	N	71.462080	W	109.360245	173.823227	199.224223	-0.679178	-0.270857	0.000000
6200	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	800	43.363083	N	71.462099	W	109.392250	173.552551	199.222073	0.001846	-0.088621	0.000000
6201	1	4	FIXED	2013/6/19	18:26:22	2013/6/19	13:26:22	900	43.363041	N	71.462119	W	109.371101	174.448959	198.800385	0.362738	-0.317161	0.000000
6202	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	0	43.362999	N	71.462139	W	109.382858	175.782532	199.173842	-0.323308	-0.257029	0.000000
6203	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	100	43.362958	N	71.462159	W	109.390541	176.256348	198.691895	0.419381	-0.213442	0.000000
6204	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	200	43.362916	N	71.462178	W	109.405441	177.277145	198.557605	0.117354	-0.284704	0.000000
6205	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	300	43.362874	N	71.462198	W	109.421814	178.265610	198.289886	0.235284	-0.191428	0.000000
6206	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	400	43.362832	N	71.462217	W	109.373993	178.624893	198.434987	-0.128005	-0.182897	0.000000
6207	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	500	43.362790	N	71.462236	W	109.341087	179.555862	198.301201	0.118450	-0.244837	0.000000
6208	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	600	43.362748	N	71.462255	W	109.308456	180.352661	198.507588	-0.183611	-0.181544	0.000000
6209	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	700	43.362705	N	71.462275	W	109.274254	180.835373	198.573090	-0.058481	-0.105724	0.000000
6210	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	800	43.362662	N	71.462294	W	109.257347	181.098923	198.288317	0.254772	0.066533	0.000000
6211	1	4	FIXED	2013/6/19	18:26:23	2013/6/19	13:26:23	900	43.362620	N	71.462314	W	109.218483	180.361130	197.793514	0.442091	0.219062	0.000000
6212	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	0	43.362577	N	71.462333	W	109.122398	179.538696	197.485543	0.273977	0.406490	0.000000
6213	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	100	43.362535	N	71.462351	W	109.026054	177.485794	197.133452	0.310724	0.462830	0.000000
6214	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	200	43.362493	N	71.462369	W	109.022476	176.264008	196.663139	0.411246	0.290809	0.000000
6215	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	300	43.362451	N	71.462386	W	108.980263	175.420532	196.388498	0.238749	0.384903	0.000000
6216	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	400	43.362409	N	71.462403	W	108.926682	173.542252	196.098687	0.249986	0.545902	0.000000
6217	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	500	43.362368	N	71.462419	W	108.929909	171.561569	195.440507	0.561448	0.425486	0.000000
6218	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	600	43.362327	N	71.462435	W	108.855110	170.515213	195.748784	-0.260668	0.289797	0.000000
6219	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	700	43.362286	N	71.462451	W	108.849960	169.510422	195.368975	0.319226	0.475635	0.000000
6220	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	800	43.362246	N	71.462466	W	108.846550	167.149384	195.147206	0.184551	0.656041	0.000000
6221	1	4	FIXED	2013/6/19	18:26:24	2013/6/19	13:26:24	900	43.362206	N	71.462481	W	108.875748	164.875732	194.808212	0.278218	0.528075	0.000000
6222	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	0	43.362166	N	71.462495	W	108.850945	163.414948	194.711998	0.078076	0.608009	0.000000
6223	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	100	43.362126	N	71.462510	W	108.870575	160.582245	194.584898	0.101791	0.741150	0.000000
6224	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	200	43.362088	N	71.462523	W	108.857292	158.181046	194.511898	0.057520	0.699343	0.000000
6225	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	300	43.362050	N	71.462537	W	108.848824	155.644073	194.333760	0.138187	0.658950	0.000000
6226	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	400	43.362013	N	71.462550	W	108.847496	153.526825	193.912098	0.322242	0.656174	0.000000
6227	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	500	43.361976	N	71.462563	W	108.787979	151.002594	193.898945	0.009901	0.738288	0.000000
6228	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	600	43.361940	N	71.462575	W	108.741867	148.313919	193.600280	0.220972	0.650150	0.000000
6229	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	700	43.361904	N	71.462587	W	108.671814	146.407959	193.254897	0.251614	0.591729	0.000000
6230	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	800	43.361869	N	71.462598	W	108.638817	144.130493	193.209478	0.032619	0.615358	0.000000
6231	1	4	FIXED	2013/6/19	18:26:25	2013/6/19	13:26:25	900	43.361835	N	71.462609	W	108.700401	142.062958	193.203793	0.004022	0.878036	0.000000
6232	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	0	43.361801	N	71.462620	W	108.717155	137.930862	193.083967	0.082932	0.809047	0.000000
6233	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	100	43.361767	N	71.462631	W	108.762451	136.349838	193.258883	-0.118590	0.620798	0.000000
6234	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	200	43.361735	N	71.462641	W	108.800301	133.546265	193.157360	0.067730	0.642354	0.000000
6235	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	300	43.361702	N	71.462652	W	108.839409	131.813889	192.836580	0.210409	0.501577	0.000000
6236	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	400	43.361670	N	71.462662	W	108.900536	130.000580	193.159962	-0.209282	0.686516	0.000000
6237	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	500	43.361639	N	71.462672	W	108.940727	126.962372	193.101125	0.037372	0.853702	0.000000
6238	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	600	43.361609	N	71.462682	W	108.994278	123.972633	192.989838	0.069028	0.756695	0.000000
6239	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	700	43.361579	N	71.462691	W	109.060226	121.619034	192.624854	0.221569	0.661545	0.000000
6240	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	800	43.361549	N	71.462700	W	109.079994	119.296623	192.710052	-0.050737	0.712205	0.000000
6241	1	4	FIXED	2013/6/19	18:26:26	2013/6/19	13:26:26	900	43.361521	N	71.462709	W	109.089867	116.590042	192.604128	0.061762	0.821610	0.000000
6242	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	0	43.361493	N	71.462718	W	109.081871	113.495003	192.024080	0.329890	0.751735	0.000000
6243	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	100	43.361465	N	71.462726	W	109.076241	111.270409	191.936009	0.048931	0.671219	0.000000
6244	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	200	43.361438	N	71.462733	W	109.040710	108.755402	191.811741	0.067586	0.655649	0.000000
6245	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	300	43.361412	N	71.462741	W	108.983490	106.640495	191.441263	0.197252	0.626170	0.000000
6246	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	400	43.361386	N	71.462748	W	108.966980	104.329643	191.228235	0.111091	0.627016	0.000000
6247	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	500	43.361361	N	71.462755	W	109.032776	102.211807	190.883056	0.176227	0.581788	0.000000
6248	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	600	43.361336	N	71.462762	W	109.007416	100.218010	190.519979	0.181675	0.509805	0.000000
6249	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	700	43.361312	N	71.462768	W	108.949669	98.608116	189.453739	0.523995	0.502395	0.000000
6250	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	800	43.361288	N	71.462773	W	108.906982	96.636276	188.767993	0.330945	0.538754	0.000000
6251	1	4	FIXED	2013/6/19	18:26:27	2013/6/19	13:26:27	900	43.361264	N	71.462778	W	108.868736	94.790108	188.670039	0.046350	0.426894	0.000000
6252	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	0	43.361241	N	71.462783	W	108.818367	93.621788	188.284649	0.179485	0.438347	0.000000
6253	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	100	43.361218	N	71.462788	W	108.795174	91.690773	187.826982	0.209640	0.476823	0.000000
6254	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	200	43.361196	N	71.462792	W	108.812866	90.249130	186.933390	0.401859	0.430124	0.000000
6255	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	300	43.361173	N	71.462796	W	108.767845	88.631630	186.925726	0.003389	0.509860	0.000000
6256	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	400	43.361152	N	71.462799	W	108.746666	86.649117	185.707799	0.527651	0.516601	0.000000
6257	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	500	43.361131	N	71.462802	W	108.725876	84.944420	184.686066	0.433351	0.402368	0.000000
6258	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	600	43.361110	N	71.462805	W	108.767761	83.780800	184.130621	0.231653	0.385046	0.000000
6259	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	700	43.361089	N	71.462807	W	108.837944	82.217766	183.211850	0.376979	0.453591	0.000000
6260	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	800	43.361069	N	71.462808	W	108.848763	80.556747	182.083981	0.453776	0.481090	0.000000
6261	1	4	FIXED	2013/6/19	18:26:28	2013/6/19	13:26:28	900	43.361050	N	71.462809	W	108.857407	78.789352	180.870115	0.478083	0.382595	0.000000
6262	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	0	43.361030	N	71.462810	W	108.865311	77.819565	179.875573	0.384983	0.339518	0.000000
6263	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	100	43.361011	N	71.462810	W	108.867996	76.368492	179.001492	0.333127	0.321122	0.000000
6264	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	200	43.360993	N	71.462809	W	108.876945	75.534248	177.952696	0.393782	0.326541	0.000000
6265	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	300	43.360974	N	71.462808	W	108.917587	74.037407	177.026000	0.342604	0.349510	0.000000
6266	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	400	43.360956	N	71.462807	W	108.965973	73.046867	176.301723	0.263320	0.294316	0.000000
6267	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	500	43.360939	N	71.462805	W	108.968964	71.947556	174.453583	0.662270	0.219500	0.000000
6268	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	600	43.360921	N	71.462803	W	108.969093	71.421600	173.831128	0.220587	0.158449	0.000000
6269	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	700	43.360903	N	71.462800	W	108.961334	70.820320	171.953395	0.660097	0.093913	0.000000
6270	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	800	43.360886	N	71.462797	W	108.989540	70.682121	171.364058	0.206131	0.054405	0.000000
6271	1	4	FIXED	2013/6/19	18:26:29	2013/6/19	13:26:29	900	43.360868	N	71.462793	W	109.017174	70.428696	169.323817	0.711499	0.145734	0.000000
6272	1	4	FIXED	2013/6/19	18:26:30	2013/6/19	13:26:30	0	43.360851	N	71.462789	W	109.035767	69.563667	167.301615	0.699621	0.211020	0.000000
6273	1	4	FIXED	2013/6/19	18:26:30	2013/6/19	13:26:30	100	43.360834	N	71.462784	W	109.037743	68.851547	166.904678	0.135808	0.125576	0.000000
6274	1	4	FIXED	2013/6/19	18:26:30	2013/6/19	13:26:30	200	43.360817	N	71.462778	W	109.061302	68.673683	166.060642	0.286914	0.150670	0.000000
6275	1	4	FIXED	2013/6/19	18:26:30	2013/6/19	13:26:30	300	43.360800	N	71.462772	W	109.053421	67.772774	164.109769	0.657857	0.153632	0.000000
6276	1	4	FIXED	2013/6/19	18:26:30	2013/6/19	13:26:30	400	43.360784	N	71.462766	W	109.041634	67.509834	162.347982	0.589049	0.105378	0.000000
