xs,ys
100,99
51,50
59,70
41,55
94,28
23,90
25,19
57,4
8,64
75,50
1,9
99,55
44,41
80,1
92,76
87,55
7,36
87,32
60,15
86,65
87,66
66,50
78,14
55,27
85,73
42,86
4,97
26,1
61,88
8,9
16,86
41,79
4,99
74,55
88,43
92,33
86,90
97,36
65,58
95,90
97,37
80,53
52,61
36,1
17,26
37,65
96,22
88,98
97,62
88,100
10,74
65,26
72,29
78,79
55,58
13,56
37,64
94,28
40,13
77,26
55,54
14,28
99,84
72,63
78,62
4,48
43,51
60,54
62,63
50,57
1,60
16,68
12,85
42,32
60,87
19,84
48,73
93,75
97,37
10,17
34,61
67,32
5,44
25,8
74,18
70,80
40,84
50,97
1,26
91,0
31,67
96,58
34,86
24,63
67,22
7,83
83,94
13,44
8,20
67,63
